Year,Canada,China,France,Germany,Israel,Italy,Netherlands,Norway,Spain,Sweden,Switzerland,United Kingdom,United States
1990,79000000.0,954000000.0,1825000000.0,1835000000.0,82000000.0,200000000.0,416000000.0,85000000.0,117000000.0,224000000.0,468000000.0,1837000000.0,10664000000.0
1991,93000000.0,1321000000.0,1196000000.0,2418000000.0,165000000.0,354000000.0,455000000.0,167000000.0,105000000.0,155000000.0,497000000.0,1510000000.0,12484000000.0
1992,139000000.0,670000000.0,1247000000.0,1526000000.0,358000000.0,249000000.0,383000000.0,79000000.0,71000000.0,147000000.0,452000000.0,1093000000.0,14083000000.0
1993,144000000.0,1435000000.0,974000000.0,1559000000.0,416000000.0,342000000.0,458000000.0,41000000.0,104000000.0,103000000.0,235000000.0,1382000000.0,13766000000.0
1994,164000000.0,1083000000.0,861000000.0,2920000000.0,337000000.0,208000000.0,628000000.0,46000000.0,254000000.0,111000000.0,176000000.0,1513000000.0,11483000000.0
1995,254000000.0,1001000000.0,960000000.0,1552000000.0,206000000.0,301000000.0,458000000.0,17000000.0,89000000.0,226000000.0,146000000.0,1450000000.0,11177000000.0
1996,146000000.0,762000000.0,1850000000.0,1961000000.0,335000000.0,288000000.0,484000000.0,4000000.0,113000000.0,348000000.0,195000000.0,1608000000.0,10839000000.0
1997,96000000.0,425000000.0,3187000000.0,957000000.0,273000000.0,449000000.0,616000000.0,13000000.0,634000000.0,104000000.0,126000000.0,2359000000.0,14498000000.0
1998,37000000.0,347000000.0,3132000000.0,1851000000.0,227000000.0,426000000.0,639000000.0,3000000.0,174000000.0,337000000.0,214000000.0,1400000000.0,15708000000.0
1999,78000000.0,331000000.0,1758000000.0,1878000000.0,166000000.0,519000000.0,355000000.0,3000000.0,46000000.0,387000000.0,282000000.0,1315000000.0,11538000000.0
2000,67000000.0,314000000.0,1033000000.0,1646000000.0,401000000.0,208000000.0,281000000.0,2000000.0,47000000.0,360000000.0,186000000.0,1623000000.0,7662000000.0
2001,112000000.0,517000000.0,1383000000.0,869000000.0,458000000.0,269000000.0,199000000.0,34000000.0,8000000.0,897000000.0,221000000.0,1359000000.0,5600000000.0
2002,159000000.0,532000000.0,1393000000.0,902000000.0,548000000.0,477000000.0,233000000.0,82000000.0,18000000.0,164000000.0,178000000.0,1076000000.0,4882000000.0
2003,306000000.0,708000000.0,1362000000.0,1652000000.0,401000000.0,359000000.0,331000000.0,94000000.0,99000000.0,516000000.0,198000000.0,769000000.0,5643000000.0
2004,307000000.0,415000000.0,2140000000.0,1103000000.0,616000000.0,260000000.0,202000000.0,61000000.0,54000000.0,298000000.0,279000000.0,1217000000.0,6839000000.0
2005,218000000.0,369000000.0,1663000000.0,2088000000.0,510000000.0,830000000.0,504000000.0,6000000.0,113000000.0,539000000.0,266000000.0,991000000.0,6738000000.0
2006,216000000.0,738000000.0,1497000000.0,2485000000.0,429000000.0,535000000.0,1147000000.0,17000000.0,898000000.0,387000000.0,310000000.0,954000000.0,7533000000.0
2007,314000000.0,506000000.0,2154000000.0,3296000000.0,609000000.0,697000000.0,1219000000.0,58000000.0,628000000.0,330000000.0,308000000.0,920000000.0,7956000000.0
2008,219000000.0,614000000.0,1889000000.0,2380000000.0,375000000.0,429000000.0,452000000.0,108000000.0,626000000.0,454000000.0,484000000.0,927000000.0,7150000000.0
2009,165000000.0,1136000000.0,1854000000.0,2208000000.0,801000000.0,508000000.0,504000000.0,141000000.0,984000000.0,409000000.0,238000000.0,1073000000.0,7191000000.0
2010,159000000.0,1511000000.0,884000000.0,2357000000.0,660000000.0,580000000.0,366000000.0,159000000.0,273000000.0,661000000.0,260000000.0,1152000000.0,8389000000.0
2011,261000000.0,1263000000.0,2248000000.0,1204000000.0,548000000.0,965000000.0,541000000.0,146000000.0,997000000.0,698000000.0,326000000.0,1007000000.0,9024000000.0
2012,248000000.0,1521000000.0,1326000000.0,729000000.0,462000000.0,784000000.0,871000000.0,167000000.0,266000000.0,477000000.0,235000000.0,817000000.0,8956000000.0
2013,160000000.0,2061000000.0,1799000000.0,729000000.0,417000000.0,886000000.0,384000000.0,153000000.0,450000000.0,386000000.0,194000000.0,1493000000.0,7694000000.0
2014,173000000.0,1327000000.0,1768000000.0,1822000000.0,400000000.0,674000000.0,643000000.0,138000000.0,962000000.0,345000000.0,337000000.0,1658000000.0,9490000000.0
2015,321000000.0,1814000000.0,2271000000.0,1812000000.0,570000000.0,687000000.0,469000000.0,182000000.0,982000000.0,193000000.0,482000000.0,1183000000.0,9868000000.0
2016,91000000.0,2445000000.0,2141000000.0,2509000000.0,1236000000.0,621000000.0,484000000.0,104000000.0,481000000.0,257000000.0,217000000.0,1324000000.0,9465000000.0
2017,61000000.0,1625000000.0,2315000000.0,1841000000.0,1193000000.0,705000000.0,1067000000.0,121000000.0,820000000.0,81000000.0,175000000.0,1107000000.0,11444000000.0
2018,115000000.0,1358000000.0,1879000000.0,1110000000.0,1147000000.0,537000000.0,466000000.0,59000000.0,705000000.0,154000000.0,243000000.0,680000000.0,9576000000.0
2019,221000000.0,1593000000.0,3724000000.0,997000000.0,384000000.0,383000000.0,302000000.0,31000000.0,308000000.0,215000000.0,218000000.0,919000000.0,10908000000.0
2020,110000000.0,700000000.0,2387000000.0,1161000000.0,395000000.0,825000000.0,462000000.0,67000000.0,981000000.0,279000000.0,159000000.0,637000000.0,9532000000.0
2021,118000000.0,1310000000.0,3892000000.0,857000000.0,619000000.0,1650000000.0,357000000.0,114000000.0,619000000.0,329000000.0,113000000.0,717000000.0,11074000000.0
2022,175000000.0,2083000000.0,3268000000.0,1481000000.0,870000000.0,1716000000.0,323000000.0,72000000.0,970000000.0,66000000.0,185000000.0,1665000000.0,15592000000.0
2023,285000000.0,2432000000.0,2012000000.0,3287000000.0,1159000000.0,1437000000.0,258000000.0,222000000.0,940000000.0,299000000.0,93000000.0,1204000000.0,11287000000.0
